,pos,neg
872,"Красивый, удобно лежит в руке, за полгода ни царапины, ни потертости - ничего. По началу держал зарядку прилично, прям реально на пару дней при средней нагрузке (пару часов видео, интеренет, музыка, мессенджеры, неск.звонков), но со временем перестал, хотя на день, в принципе, вполне хватает.","1.Скользкий, постоянно рефлекторно хочется сжать крепче, ибо металлическая поверхность прям очень гладкая, а в чехле он сразу теряет свой шарм и становится обычным обмылком. 2.Производительность: из игр есть только TempleRun и чтобы бегун не лагал и слушался жестов приходится скидывать настройки почти на минимум... И во всех почти приложениях чувствуется некая задумчивость... вот нет ощущения того, что нажал на кнопку, и она сработала, всегда присутствует некая пауза. Многие приложения (Яндекс карты, Сбербанк онлайн, Телеграмм) вообще могут не открыться или ждешь минуту примерно, пока оно додумается там. 3. Нет встроенного медиаплеера, приходится пользоваться сторонним софтом, а это уже значит, что будут лаги и тормоза. Много плееров перепробовал, и покупал и фри и топы продаж и ноунеймы... нет, ничего не помогает. 4. Нет встроенной галереи для просмотра фото! Вообще нонсенс... Есть приложение Фото, которое грузит сразу все в облако (или не грузит, в зависимости от настроек, но тогда постоянно напоминает об этом) и оно дико неудобное с какой-то извращенной логикой представления папок и тоже тормозное, как и большинство других приложений. 5. Камера категорически отстойная. Стабилизация отсутствует напрочь, цветопередача, как у мыльницы за 150 рэ, тени шумные, про съемку в темное время вообще молчу... Вообще есть ощущение, что с ней не то чтобы не заморачивались, а просто сделали, чтобы была. 6. Сканер отпечатков: он просто тупит. В память можно вбить пять разных пальцев, но по факту обычно пользуешься одним-двумя, и похоже, что он со временем забывает остальные три... Если руки чуть влажные, даже не мокрые а вытертые полотенцем, но осталась еще влага - вообще не воспринимает.  Есть наверняка что-то еще, просто сейчас не вспомню... "
873,"Качество телефона, цена, объем накопителя.","Камера, качество снимков."
874,"Нет кнопки домой, пользоваться смахиванием удобно. ","Все, Камера обычная, никаких супер фото не выходит. Face ID лично мне не особо впечатлил, палец тоже не плохо. Платить в 2 раза больше только за это нет смысла. Тоже мне новинка! В китайских смартфонах это давно уже есть. Сообщения в виде мордочек животных мне не интересны-это детям до 12 лет. Я очень недовольна , у меня есть iPhone 6,7 и они не хуже. Так что рекомендую сэкономить и купить 6или 7 , ну на крайний случай, если вам важны новинки 8 . "
875,"Есть поддержка NFC, быстрый сканер отпечатка пальца, неплохая батарея.","Камеры тормозная, хотя снимает вполне неплохо."
876,Внешний вид(Дизайн) камера;Железо:,Пока недостатков не выявил 
877,"Камера, батарея",беспроводная зарядка отсутствует
878,"Камера, процессор,",Подзарядка медленная
879,"акомулятор долго держит,есть функция подключения к телевизору,быстрый.","звук в наушниках тихий,нет ик порта,камера   
не очень."
880,"Быстрый, хорошая Камера, удобен в обращении. ",Слабо держит зарядку 
881,"Шустрый аппарат
При постоянном использование не нагревается!
",Недостатков нет
882,"Очень стильный , красивый дизайн, прекрасная камера, порадовала сьемка в 4 к.Корпус телефона очень современный.Экран просто супер, цвето  - передача шикарная. Huawei на этот раз просто порадовал.","Один минус все - таки есть. Очень дорогая карточка памяти.Простая micro SD не подходит, ей нужена карточка нового поколения, ( ну может и не нового,вы меня простите,если я ошибаюсь ) , NM Card. На сайте компании такая карточка стоит - на 256 GB  118 евро.Могли бы цену и спустить."
883,"Экран, дизайн, тактильные ощущения, камеры","Стилус , сломалась кнопка-защелка, "
884,"Внешний вид, оформление, стиль, работоспособность, быстродействие",не обнаружено.
885,"Владею телефоном уже четыре года. По-прежнему нет к нему никаких претензий, аккумулятор работает практически как новый, существенных изменений не вижу: при очень активном использовании с 7 утра к позднему вечеру остается не менее 30 процентов заряда. Носить с собой шнуры, зарядки, дополнительные аккумуляторы не нужно) В остальном все также хорошо: все работает, фотографирует, включается и т.д. Глюков нет. Последний год использую телефон без защитного экрана и пленки, царапин нет! хотя ношу его в сумке вместе со всем ее содержимым, стараюсь только не класть рядом с ключами.","За 4 года не привыкла к его размеру, одной рукой использовать не всегда удобно."
886,"Все что в нем есть это плюсы, долго перечислять! Экран, аккумулятор(приятно удивил, держи два дня в лет), FaceID, габариты, скорость работы, цветопередача, камера и т.д. Берите не пожалеете!",Отсутствуют
887,"Samsung-и лучшие. Четвертвй note у меня. Был 1, 3, 5 и вот сейчас 9. Note 9 реально бомба. Тяюелоаат немножко только. А в остальном бомба. Лучший аппарат по моему мнению.",Вес и цена
888,"Лучший во всём, конечно же, опираясь на стоимость.",Отсутствие минусов.
889,"Дисплей, камера, звук",Сканер отпечатков сыроват 
890,Камера капельку лучше стала.,"1) Кнопка bixby постоянно нажимается, т.к. ее расположили так, что при взятии телефона оной рукой и при нажатии кнопки разблокировки она автоматом нажимается и разблокирует экран. 2) Экран закруглен и незакругленной версии как в Galaxy S7 нет, поэтому если держать экран одной рукой дотрагиваешься до тача экрана и при нажатии он уже думает, что это 1-2 пальца и вместо нажатия прокручивает экран или масштабирует. 3) Углы экрана скруглены, поэтому в некоторых приложениях изображение и информацию обрезает, например в Kate mobile. 4) Чувствительность экрана ниже чем в предудущих версиях, уже молчу про Galaxy S4, на текущий момент ничего лучше нет. 5) Вырезали S-Voice пришлось вручную устанавливать. 6) Камера ночью снимает так же с шумами, поэтому все что рекламировали, это рекламный ход. "
891,"Быстродействие, внешний вид, камера ",Очень скользкий без чехла 
892,"Владею Oneplus 6 с июля ,одни только 
сплошные плюсы, плюсы и плюсы.",Их вообще нет.
893,"Пользуюсь и радуюсь ребята даже не думайте БЕРИТЕ ТЕЛЕФОН,просто супер с 6 айфон Я ушол и теперь не нАрадуюсь привет из Луганска ",Звук пискливенький 
894,"Удобный маленький размер, высокая производительность. Отличная камера (нормальное качество фото для печати и видео).",Может сам позвонить по последнему номеру в списке звонков после разговора по телефону.
895,"Хороший дизайн, удобный экран",Плохая связь. Собеседник часто не слышит. 
896,"Люблю особенные вещи, и качественные вещи, и красивые тоже. И ещё я люблю цифру 8
Вот почему выбрала этот телефон
Всё в ней для меня +","Ос андроид
Я понимаю что все дороги проложены именно для этой ос, но поверьте, моя старенькая нокиа 808 умеет делать вещи, каторые не под силу иос и андроид, по этому её тоже оставила
Хотя стоит признать, что среднестатистический гражданин легче справиться с последними, чем с симбиан, но этот старик явно произведение искусства"
897,"Мощный процессор, камера хорошая, цветопередача",нету их для меня
898,Нет,"Все iphone не работает на севере при -25 -30 
"
899,"Красивый, долго держит заряд, быстро заряжается, чистый андроид.",Глючит камера. Не всегда с первого раза разблокируется. Постоянные обновления(достали).
900,ВСЕ,НЕТ
901,"Батарея не садиться, для начала, но потом для зарядки до ста все больше и больше времени уходит, нфс есть, камеры норм","Зарядка тайпси бы была, вообще круто было бы, и батарею ещё мощнее,, вторую колонку бы, а то один динамик слабовато"
902,Vsyo kruto,Mne ne ponravilos' to chto teper' naushniki nelzya ispolzovat ni s chem krome iphone. Nujen bolee universalnyi razyom. Hotyaby Type-C.
903,"Производительный, стильный, удобный",Не нашёл. Отсутствие влагозащиты. 
904,Ok. ,No
905,"Большой яркий дисплей. Более или менее ёмкая батарея. Модуль NFC. Отличная камера что основная, что фронтальная. (До этого был хонор 8, есть с чем сравнить). Большая встроенная память ну и шустрый процессор",Нет как в хонор 8 ИК передатчика и разъема тип С.
906,Камера. Автономность. Железо.,Нет.
907,"Довольна очень. После самсунгов просто супер! Нужен был телефон с хорошей камерой и без глюков и тормозов, способный продержаться хотя бы сутки. Оправдал на все 100%!!! Заряд держит, у меня хватает на три дня, т. к. подолгу не зависаю. Если целый день не выключая копаться, то на сутки хватит. Быстрая зарядка это так прекрасно! Камера снимает очень даже прилично. Знакомые отмечают хорошее качество снимков. Селфи камера до неприличного улучшает физиономию))) Лет на 15 молодею. Спасибо конечно, ну пусть будет) Память большая, производительность более чем, короче для девочек выше крыши... ","На мой взгляд скользкий, без чехла-книжки я не рискну в руки брать) "
908,"NFC,FACE ID",Слабенький.
909,"Быстрый. Многофункциональный. Очень удобный во всём. До этого был флагман 6 edge. Новый ненамного, но лучше. ","НО, ПОЛЬЗУСЬ Я ШЕСТЁРКОЙ! Так как девятка куплена в Америке. Утверждения продавца о русификации телефона - враньё. 15 процентов меню на русском. Остальное - никак не русифицировать. Так что покупайте с осторожностью. Мне подарок взяли в США только потому, что в России продают менее надёжной сборки... Хотели как лучше, получилось, как всегда."
910,"Телефон на уровне Айфона 8, Самсунг гелакси 7 и тд. Но по цене был дешевле на 20 тыров.",За 2 года эксплуатации пока не выявил 
911,LTE фронт.  камера 8 мпикс. Увеличение частоты звука( настройки разработчиков). ,Перегревается. Не снимается задняя крышка. При загруженности виснет. Один раз был случай что он перестал реагировать на на команды не включался экран
912,"Хороший дизайн и интерфейс, программное обеспечение комфортное. ","Довольно слабая производительность имеются подвисания. Плохо функционирует с наушниками идущими в комплекте с телефоном - при их задевании, во включенном состоянии, автоматически открывается ОК Googl не реагирующий на подачу голосовых команд, что доставляет много неудобств в использовании телефона и других приложений."
913,"Потрясающая скорость и плавность работы, Snapdragon 845 справляется на &quot;ура&quot; с любыми задачами. Никаких раздражающих микролагов даже через год пользования!  Самая доступная цена за флагманский процессор (на момент выхода). Хороший, хоть и не особо выдающийся, экран. Приличный звук в наушниках. Динамик тоже играет неплохо, правда, эффект псевдостерео практически не ощутим. Мгновенная разблокировка по лицу даже в полной темноте! Функция реализована отлично, вообще не ошибается. Сканер отпечатка также молниеносный.","Весьма посредственная камера. Снимки получаются очень среднего качества, но чем-то приходится жертвовать за эту цену. Слишком большие скругления по краям экрана. Монобровь."
914,Пользуюсь p 20 lite.. Нет предела удовольствию,Съемка видео без стабилизации
915,У S9 камера на много лучше чем у S8. Живет дольше.,"S9 почти не отличить от S8, а покупая новинку хочется и дизайн новее."
916,Все нравится,Не нравится скорость прихода обновлений. 
917,"Дисплей, быстродействие, быстро заряжается, мощность,камера хорошая,связь,много оперативы,в общем одни плюсы,отличный аппарат даже лучше многих s9-s8 хотя у них есть кое что другое.и самая быстрая зарядка.звук оч.хороший во всех аспектах.","Нет без проводной зарядки,без стерео звука в динамиках."
918,"Удобно лежит в руке. Не тормозит, не тупит. Всё офигенно! Быстро работает TochID, с приходом новой iOS стал намного быстрее. За пол года эксплуатации никаких претензий нет вообще;)",Для меня минусов нет. Всё супер!
919,"За 1.5 года использования не было никаких проблем. яркий дисплей, быстрая работа, отличная камера. ",Только то что есть зоны экрана в которые просто не дотягиваешься.
920,"В интернет минимум рекламы, просмотр страниц в интернете простой и безошибочный, практически нет ошибок при наборе любого текста или поиске контакта. Прекрасная работа Apple Pay. Качественный звук приёма и динамика. ","Нижняя шторка не всегда срабатывает при движение пальцем снизу вверх, нет выставки разрешения для фото по мегапикселям как в андроид, есть настройка только камеры. Слабовата батарея."
921,Просто суперская камера! Офигительный звук!,Батарейку на максимуме держит часов 6.
922,"Дизайн, отличный экран с HDR 10,  не плохая производительность. 
Очень быстро заряжается, поэтому можно закрыть глаза на то, что не большая ёмкость аккумулятора.
Одна из лучших камер в своём классе.
Модный wi-fi. Nfc есть. Хороший звук.
Чистый андроид.","Гибридный слот для сим карты.
Корпус хоть и стекло, но царапается. Нужен чехол обязательно.
Не много цена высока."
923,"Камера, работоспособность, производительность, минусов на мой взгляд нет в этом телефоне, он просто идеален",Нет
924,"Очень мощный , все есть ничем не уступает лидерам рынка ","Никак не могу найти, очень качественно сделан"
925,"Очень хороший экран. Хорошо держит заряд(но при одной сим-карте). При применении &quot;умного разрешения&quot; и &quot;умного энергосбережения&quot; может держать два дня(если не играть), в простое практически не ест. Камера, может выдавать очень хорошие снимки в режиме&quot;профи&quot;,но нужно учиться с ним работать. Очень понравился внешний вид и металл в корпусе.Внешний вид камер приколол, хочу найти корпус с миньеном))) Звук разговорного динамика очень громкий, звук внешнего тоже хорош, если битрейт трэка высокий. Даже есть намёк на бас. Есть собственный улучшайзер звука, самим эквалайзером не пользуюсь, но использую 3D, работает только с проводными наушниками. Стекло, вроде третья горилла, про олеофобку не скажу, сразу был в плёнке, а на плёнке всё нормуль. Отлично держит связь и Ви-фи,хоть он только одного диапазона. Сканер отпечатка пальцев работает всегда и быстро, понравилось разблокировка по лицу, работает даже если в шапке. Не работает когда глаза закрыты, так что некие хотрожопые жёны не смогут разблокировать ночью))) ","Маркий и скользкий корпус. Немного выпирают камеры - лечится чехлом. Если играть разряжается быстро. Ещё быстрее если использовать вторую сим,но терпимо, потому как в простое практически не разряжается. Возможно это реакция на сим от РТ. В простом режиме съёмки хорошие фото можно получить днём. Хистэн(звук) не работает с беспроводными наушниками, у меня Honor XSport. Смущают слишком &quot;мягкие&quot; чувствительные кнопки. Сканер пальцев не работает если они мокрые. Распознавание лица не работает никогда если я с сигаретой. Плохо работает в тёмное время суток. "
926,"Легкий. приятно держать в руке, быстрый, хорошая камера для своего класса",греется не хило в силиконовом оригинальном чехле
927,"Отличный аккумулятор, долго держит заряд, при этом быстро заряжает, камера делает шикарные снимки, качество отменное, особенно поразили 3д фото","Проблемы с геолокацией, долго находит"
928,Отлично ,Не съёмная батарея 
929,"Работает отлично, экран качественный, не тормозит","Камера не супер, для обычного пользования пойдёт, при плохом освещении никакая. Аккумулятор вроде 3500 а при плотном использовании на эконом режиме только до вечера. Обычная зарядка, просто не заряжает, надо толь супер чардж и с кабелем на 5а. "
930,"Тонкий, большой экран, быстрый, необычный, хорошая камера, особенно съёмка видео","Для моей не маленькой ладони великоват. Официальные чехлы и стекло стоят дорого, а на неофициальные отзывы отрицательные. По отзывам окружающих, интерфейс сложный, хотя, скорее, непривычный. "
931,"Xороший аккумулятор, хорошая камера, недорогой
 всё ок.
",Для меня минусом  нет
932,Качественная звонилка+хорошая камера+дисплей на высоте!,Недостатков пока не вижу!
933,"Удобство использования, дисплей, аккумулятор, софт, ",Как таковых не выявил.
934,64 память достаточно для всего отличная камера батарея на сутки процессор шустрый лягов нет тянет все NFC большой 6.5 экран это лучшая модель из всех конкурентов самгов и сяоми итд,Да для меня их нет
935,Удобный аппарат,Очень много косяков как с программой IOS так и с саммм аппаратом. Айфон Х
936,"Телефон на самом деле очень хороший. Хорошо держит зарядку, яркий и чёткий экран, отличные камеры
","Если не обновлять систему телефон начинает глючить....Один раз даже при звонках перестал работать микрофон, а при видео съемке он работал исправно
"
937,"Красота, удобство, простота в обращении. ",Их нет
938,"Все очень хорошо, крепкий, красивый, умный, безотказный. ","Скользкий без чехла,  чехлы все однотипные для него, нет оригинальной легкой сумочки на шею, на работе некуда девать- активная работа, поэтому ношу в разных детских и др. сумках, из обычного кармана выскальзывает, вязать мешок не хочется."
939,Аккумулятор,"Лагает,камеры так себе,оптическая стабилизация вообще ужас,а рамки еще хуже,уж лучше челки бы не было с такой рамкой снизу,либо челка но без бороды,либо борода но без челки,но НЕ ВСЕ ОДНОВРЕМЕННО!"
940,"Огромный экран, хорошая батарея, хорошая камера, встроенный объем памяти.","Иногда экран начинает произвольно печатать по клавиатуре, помогает только блокировка и разблокировка телефона, из за чего это, не знаю, возможно только у моего телефона так."
941,"Довольно &quot;шустрый &quot; смартфон, чистая ОС &quot;Андроид&quot;, регулярно выходят обновления ОС, батарея неплохо держит заряд.","Плохая работа фото камеры (плохая фокусировка), приложения не корректно работают если они сохранены на SD носителе, неудачно расположен сканер отпечатка пальца (он так и напрашивается что бы его поместили на задней панели между камерой и вспышкой), задняя крышка не съёмная."
942,"Классический Apple: не глючит, неплохая батарея, отличный экран и камера.",Наверное цена на старте продаж и визуальное отличие от нового флагмана (кому важно)
943,"Батарею держит,просмотр видео нравится.Оплачивать удобно.","Скользкий,камера негодиться,подглючивать начал а пользуюсь меньше полгода."
944,"компактен ,не плохо собран, относительно удобен...","несовместимость с компом , дорогие приложения , не оправдано дорогая цена!!!"
945,1) ценакачество 2) очень хорошая камера 3) быстрый 4) большой экран 5) быстрая зарядка 6) батарейка хорошая ,1) камера сильно выпирает  2) при разговоре иногда лицом на экран заденешь  
946,"Лучшая в классе продолжительность работы, реально удивляет энергопотребление смартфона. Очень хорошая камера, днем снимает лучше старшей версии. Стерео динамики, с небольшим перекосом на основной динамик. Система на чипе(soc) kirin 980 очень мощный, с ним реально на данный момент может поспорить только снапдрагон 855 от квалком. Есть производительный режим, который реально поднимает фпс в играх.
Могу сказать одно, я раньше пользовал только смартфоны на снапдрагон, был фанатом квалком, попробывал перейти на самсунг с его эскиносом(s8+), очень не понравился что сам смартфон, что его проц(ужасное энергопотребление, и т.д.).Но mate 20 удивил, не ожидал что кирин 980 такой сбалансированный и главное производительный чип. Ребята это реально бомба! ","Не равные стерео динамики, с уклоном вправо(мультимидийный громче разговорного). "
947,"Если у вас есть (например) iPhone SE, денег на X, XR, XS нахватает, а 7 уже устарела: iPhone 8 отличный вариант",Не замечал
948,"Камера на любителя мне нравиться, хорошее железо, камера хорошая,","Нет водостойкости, экран не водопад но это тоже на любителя,нет. Sd карты но кому она нужна????"
949,Все очень хорошо. ,"Немного цена, связь чуть слабовата
.
"
950,Цена,"Все , потому что айфон это лучший тел а андроид полное г..."
951,Достаточно качественная камера.,Тихий
952,Хороший телефон,Пришлось поменять акб через 2 года
953,Камера не пдохая,"Батарея не держит заряд как обещали,но на день хватает."
954,камера чистый андроид память ,нет
955,"Одни плюсы, отличный смартфон",Нет
956,Телефон просто бомба. До него был ярым приверженцем iPhone. С 4 до 8 модели. Когда появилась 10 с цеником под 100 тыс. Честно задавила жаба. Начел смотреть альтернативу. Хуайвей тоже не из дешёвых стоял 60тыс. Со скидкой обошёлся в 50 штук. Но это земля и небо. Моя 8 в одной руке Хуайвей в другой разница очевидна. IPhone смотрится китайским телефоном. По всем параметрам. Акамулятор держит долго камера просто шикарная. Боялся Андройд но 2 дня и про ios забыл как страшный сон. Единственное о чем желею - это эпелмьюзик. Вот он мне нравится больше чем янднкс. Я считаю хуайвей реально технологичней и родуманней 10 в разы. ,Пишут про зеленение экрана. Хз уменя все отлично. 
957,"Хорошая камера, очень мощный фонарик, чистота изображения, прочный алюминиевый корпус, ",Минусов нет
958,"Экран от Samsung (цветность - можно настроить под себя), быстродействие, автономность (по сравнению с Samsung и Apple).  ","За 3 месяца использования имел зависание на 5-7 секунд всего 3 раза при просмотре интернета через браузер Chrom. Камера - снимки хорошие, OIS есть, но бывает сбивается фокусировка (редко)."
959,Камера превосходная,Нет 3.5 Джека и фм 
960,"Торжество технологий, камера","Камеру лучше делать посередине, цена("
961,"Новейший андроид, размер (хотя на любителя), неплохая мощность, отличная батарея по емкости.","Экран быстро потускнеет без возможности восстановления, типичная проблема - не распознает wifi 5Ghz, DS не слишком функционален, так как дилемма дешевых DS - либо вторую симку, либо карту памяти... Понятно, что 99% выберет память."
962,зкран,"не один телефон из ранее выпущенных моделей так не вис как S9,задняя панель не пропорциональна и смотрится криво из-за сканера"
963,"удобный, ни разу не глючил с апреля, хотя в обзорах этот факт был озвучен и не раз. отличная камера, надо только научиться ею пользоваться !","не поставишь защитное стекло, сканер отпечатка пальца не работает."
964,"Память 256, большой экран, быстрый, хорошо держит батарею, в среднем хватает на полтора дня. ",Цена
965,"Хорошая батарея, быстрая зарядка, сканер отпечатка работает мгновенно, отличная камера. ",Минусов не нашёл. 
966,"Всё супер, но","-Очень быстро разряжается;
-упал со стеклом накладным: появились царапины и легкие сколы."
967,"Прекрасней шее качество фото, много езжу и фотографирую в движении фото просто супер. В нем есть все что нужно и для работы и полезные функции которые пригодятся в повседневной жизни.  Долго выбирал, тел чтоб на долго потому что для себя. Хотел поменять на P30pro но не увидел ни какого смысла вообще. Тел: СУПЕР. ",Нет
968,Яркий экран,"Подтупливает периодически, но не критично. Кнопка питания через две недели начала заедать."
969,Устраивает во всех смыслах,Нет
970,"Отличный дизайн, быстро реагирует, звук громкий, рабочий стол удобный","Видеосъёмка плохая, "
971,"Крепкий, удобный, производительный","Оперативная 2 Гб,маловато."
972,"Быстрая работа, хороший экран, объем памяти, фотоаппарат.",Не выявлены.
973,"Быстренький, не подтупливает, отличная камера, удобный интерфейс, и вообще классный",Пока не выявмл
974,"Батарея, экран, размеры, да все отлично вообще. ",Нет. 
975,"Абсолютно всё, что в нем есть!",Ими и не пахнет
976,Много,Нет
977,"Дизайн корпуса, хорошая камера, достаточное быстродействие, качественное изображение.","Не выявлено, пока"
978,"Уникальная модель. Я пользуюсь им 8-ой месяц и нареканий пока у меня и претензий к нему - 0. Я сбился со счёта и не помню уже какой по счёту у меня этот телефон. Сам я программист, поэтому юзер ещё тот, мобильными телефонами пользуюсь с 1996 года. Всегда шёл в ногу с инновационными технологиями и обновлял свой &quot;гараж&quot; смартфонов исключительно по мере поступления на рынок моделей с кардинально новыми показателями. Больший восторг и удовлетворение, чем Р20 pro, я не испытывал ни от одной предыдущей модели, хотя ещё свежи впечатления и от первых смс, и от первого голосового набора, и от первого цветного экрана и т.д. До этого у меня был пару лет назад смартфон этого производителя, но потом он отстал малость. И вот, каково же было моё удивление, когда средненький бренд, но уже знакомый мне, вновь вызвал мой интерес. И самое главное, превзошел все мои ожидания. После вышел Мате, но думаю, что &quot;20 про&quot; до сих пор лидер не только среди моделей Хуавей, но и вообще на рынке смартфонов. Сейчас жду Мате Х, посмотрим, что из себя будет представлять складной экран. ","Недостатков не выявил, после 8-ми месяцев интенсивного использования."
979,"Батарея держит три дня, хорошая микросъёмка, портрет, Франталка 16Мп- хватает","За такие деньги почти нет. При наборе текста кнопка пробел и кнопка На главный экран( круг) находятся рядом, при быстрой печати часто вылетаешь на Рабочий стол"
980,"Ничего плохого до сих пор не видел 
Одни плюсы
Камера 
Батарея 
Дисплей
Удобство
Скорость 
Производительность
Быстрая зарядка
Всё на высшем уровне
","Разъем для наушников...
Но мне ничего из этого и не нужно было"
981,Внешний вид,"На четвертый день эксплуатации появилась полоса на экране, сдан в ремонт по гарантии. Ремонт идет уже две недели"
982,"Превосходная камера, фирменная оболочка EMUI, 128 ГБ встроенной памяти, приличный экран, хорошая батарея, хороший внешний вид ","Скользкий, маркий"
983,"Всем хорош, оправдал все ожидания , за исключением ёмкости батареи ( компенсируется быстрой зарядкой).",Емкость батареи слабовата для данного смартфона. 
984,Кроме аккумулятора сплошной +,Тройка только из-за аккумулятора. 3000 очень мало. Если не заряжать до вечера не хватает.
985,"Скорость, стабильность и сбалансированность работы IOS, экран, звук",Нет
986,"Не слишком большой размер, хорошо держит батарея, не плохая камера","Стеклянная задняя крышка. УСБ тип Ц совмещённый с наушниками - то есть заряжать телефон и смотреть фильм одновременно нельзя. Камера при недостаточной освещённости снимает хуже чем хотелось бы, а при вспышке отвратно выбеляет картинку. Нет ячейки под внешнюю карту памяти"
987,"Хорошая камера, большой экран, за счет отсутствия верхней и заниженной нижней рамки. По размеру практически такой же, как и 5 дюймовые смартфоны, но экран больше, что приятно радует. Необычно смотрится &quot;монобровь&quot; или как там ее еще называют. Мне понравилось.  Быстро, даже очень быстро реагирует сканер отпечатка пальца. Также быстро реагирует распознавание лица. Качество картинки экрана понравилось. Очень хорошее расширение. Хороший прием интернета 3g. Там где раньше зависало сейчас загружает быстро. И это я говорю не про 4 g.  ","Огорчило отсутствие отдельного слота под sd card. Он конечно есть, но совмещает слот с сим картой. Либо сим карта, либо sd card. Но объем в 64 Гб, с легкостью покрывает этот недостаток. "
